class,method,count
org.apache.tools.ant.taskdefs.PropertyHelperTask,NOVALUE,1
org.apache.tools.ant.taskdefs.PumpStreamHandler$ThreadWithPumper,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Recorder$ActionChoices,getValues,1
org.apache.tools.ant.taskdefs.RecorderEntry,openFileImpl,1
org.apache.tools.ant.taskdefs.RecorderEntry,getProject,1
org.apache.tools.ant.taskdefs.RecorderEntry,setOutputPrintStream,1
org.apache.tools.ant.taskdefs.RecorderEntry,setProject,1
org.apache.tools.ant.taskdefs.Redirector,complete,1
org.apache.tools.ant.taskdefs.Redirector,createStreams,1
org.apache.tools.ant.taskdefs.Redirector,handleErrorFlush,1
org.apache.tools.ant.taskdefs.Redirector,handleErrorOutput,1
org.apache.tools.ant.taskdefs.Redirector,handleFlush,1
org.apache.tools.ant.taskdefs.Redirector,handleOutput,1
org.apache.tools.ant.taskdefs.Redirector,getErrorStream,1
org.apache.tools.ant.taskdefs.Redirector,getOutputStream,1
org.apache.tools.ant.taskdefs.Redirector,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Redirector,setErrorFilterChains,1
org.apache.tools.ant.taskdefs.Redirector,setInputFilterChains,1
org.apache.tools.ant.taskdefs.Redirector,setOutputFilterChains,1
org.apache.tools.ant.taskdefs.Replace,createReplaceToken,1
org.apache.tools.ant.taskdefs.Replace,createReplaceValue,1
org.apache.tools.ant.taskdefs.Replace,setPropertyResource,1
org.apache.tools.ant.taskdefs.Replace,setReplaceFilterResource,1
org.apache.tools.ant.taskdefs.Replace$NestedString,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.Replace$Replacefilter,createReplaceToken,1
org.apache.tools.ant.taskdefs.Replace$Replacefilter,createReplaceValue,1
org.apache.tools.ant.taskdefs.Replace$Replacefilter,&lt;init&gt;,1
org.apache.tools.ant.taskdefs.ResourceCount,setWhen,1
org.apache.tools.ant.taskdefs.Retry,setRetryCount,1
org.apache.tools.ant.taskdefs.Retry,setRetryDelay,1
org.apache.tools.ant.taskdefs.Retry,addTask,1
org.apache.tools.ant.taskdefs.Retry,NOVALUE,1
org.apache.tools.ant.taskdefs.Rmic,setDebug,1
org.apache.tools.ant.taskdefs.Rmic,setFiltering,1
org.apache.tools.ant.taskdefs.Rmic,setIdl,1
org.apache.tools.ant.taskdefs.Rmic,setIiop,1
org.apache.tools.ant.taskdefs.Rmic,setIncludeantruntime,1
